section,metric,value,evidence_source,measurement_scope,status,notes
input,pr21e_by_round_rows,276,MEASURED,NOT_COMPUTABLE,MEASURED,runs_pr21e_offline_validation/pr21e_validation_by_round.csv
precondition,movie_info_table,true,MEASURED,NOT_COMPUTABLE,MEASURED,driver=psycopg2
precondition,movie_info_row_count,14835720,MEASURED,MEASURED_CATALOG_SIZE,MEASURED,nonzero table required before measuring storage
storage,prefix_size_bytes,333643776,MEASURED,MEASURED_CATALOG_SIZE,MEASURED,pg_relation_size
storage,composite_size_bytes,333398016,MEASURED,MEASURED_CATALOG_SIZE,MEASURED,pg_relation_size
storage,storage_delta_bytes,-245760,MEASURED,MEASURED_CATALOG_SIZE,MEASURED,composite minus prefix
storage,transient_peak_storage_bytes,667041792,MEASURED,MEASURED_CATALOG_SIZE,MEASURED,prefix plus composite
storage,storage_delta_ratio_vs_prefix,-0.000736593989393,MEASURED,MEASURED_CATALOG_SIZE,MEASURED,storage_delta_bytes / prefix_size_bytes
transition,create_composite_ms_median,5864.36426296,MEASURED,MEASURED_ISOLATED_SINGLE_CONN,MEASURED,repetitions=5
transition,drop_composite_ms_median,31.5119629959,MEASURED,MEASURED_ISOLATED_SINGLE_CONN,MEASURED,repetitions=5
transition,create_prefix_ms_median,5749.10874298,MEASURED,MEASURED_ISOLATED_SINGLE_CONN,MEASURED,repetitions=5
transition,drop_prefix_ms_median,30.8915680507,MEASURED,MEASURED_ISOLATED_SINGLE_CONN,MEASURED,repetitions=5
scope,write_maintenance_measured,false,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,PR21g-1 does not measure write-maintenance.
scope,online_contention_still_blocked,true,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,PR21g-1 does not measure online contention.
schema,forbidden_fields_absent,true,MEASURED,NOT_COMPUTABLE,MEASURED,forbidden decision fields are absent
online_activation,PR21b-online,blocked,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,PR21b-online remains blocked.
